
COSMOPOLITAN,*Alcoholic Cocktails ,12500,mini bar
ZANZI MOJITO,*Alcoholic Cocktails ,12000,mini bar
CUCUMBER MINT MARTINI,*Alcoholic Cocktails ,12000,mini bar
AMARICANO,*Alcoholic Cocktails ,13000,mini bar
SIDE CAR,*Alcoholic Cocktails ,20000,mini bar
CAIPROSKA,*Alcoholic Cocktails ,11000,mini bar
LYNCHBERY LEMONADE,*Alcoholic Cocktails ,17000,mini bar
FROZEN STRAWBERRY MARGARITA,*Alcoholic Cocktails ,13000,mini bar
MARGARITA {SHAKEN OR FROZEN},*Alcoholic Cocktails ,12000,mini bar
COFFEE ALEXANDER,*Alcoholic Cocktails ,15000,mini bar
PINACOLADA,*Alcoholic Cocktails ,16000,mini bar
AMERICANO,*Alcoholic Cocktails ,13000,mini bar
RED LION,*Alcoholic Cocktails ,20000,mini bar
LONG ISLAND ICED TEA,*Alcoholic Cocktails ,16000,mini bar
MOSCOW MULE,*Alcoholic Cocktails ,13000,mini bar
WHISKEY SOUR,*Alcoholic Cocktails ,13000,mini bar
UMUTI,*Alcoholic Cocktails ,13000,mini bar
SPRING BOK,*SHOOTERS,6000,mini bar
SLIPPERY NIPPLE,*SHOOTERS,6000,mini bar
B 52,*SHOOTERS,7000,mini bar
KAMIKAZE,*SHOOTERS,5000,mini bar
BABY GUINESS ,*SHOOTERS,6000,mini bar
FRUIT PUNCH,*MOCKTAILS ,7000,mini bar
CINDERELLA,*MOCKTAILS ,6000,mini bar
VIRGIN MOJITO,*MOCKTAILS ,6000,mini bar
SUNSET,*MOCKTAILS ,7000,mini bar
VIRGIN COLADA ,*MOCKTAILS ,10000,mini bar
SHIRLEYTEMPLE ,*MOCKTAILS ,5500,mini bar
THE ZANZI DELIGHT ,*MOCKTAILS ,7000,mini bar
AFTERGROW,*MOCKTAILS ,7000,mini bar
AMSTEL ROYAL,*BEERS'STAUTS & ALCO,3500,mini bar
AMSTEL 50CL,*BEERS'STAUTS & ALCO,3500,mini bar
AMSTEL BOCK,*BEERS'STAUTS & ALCO,3500,mini bar
PRIMUS,*BEERS'STAUTS & ALCO,3500,mini bar
DRAUGHT BEER AMSTEL,*BEERS'STAUTS & ALCO,3500,mini bar
DRAUGHT BEER ROYAL,*BEERS'STAUTS & ALCO,3500,mini bar
HEINNEKEN,*BEERS'STAUTS & ALCO,3500,mini bar
GUINNESS,*BEERS'STAUTS & ALCO,6500,mini bar
SMIRNOFF ICE,*BEERS'STAUTS & ALCO,6000,mini bar
SMIRNOFF GUARANA,*BEERS'STAUTS & ALCO,6000,mini bar
LEFFE,*BEERS'STAUTS & ALCO,10000,mini bar
XPLOZA,*BEERS'STAUTS & ALCO,6000,mini bar
WINDHOEK,*BEERS'STAUTS & ALCO,6000,mini bar
SAVANNA,*BEERS'STAUTS & ALCO,6000,mini bar
SPARKLING WATER 400 CL,*SOFT DRINK & ENERGY,2500,mini bar
PURE WATER SMALL 600 CL,*SOFT DRINK & ENERGY,2000,mini bar
CITRON ,*SOFT DRINK & ENERGY,2000,mini bar
COCA COLA/ ZERO,*SOFT DRINK & ENERGY,2000,mini bar
SPRITE,*SOFT DRINK & ENERGY,2000,mini bar
VIVA,*SOFT DRINK & ENERGY,2000,mini bar
BAVARIA,*SOFT DRINK & ENERGY,5000,mini bar
FRUITO,*SOFT DRINK & ENERGY,2500,mini bar
RED BULL,*SOFT DRINK & ENERGY,2500,mini bar
HENNESSEY V.S.O.P SINGLE,*BRANDY & COCGNAC,18000,mini bar
HENNESSEY  SINGLE,*BRANDY & COCGNAC,15000,mini bar
MARTEL VS SINGLE,*BRANDY & COCGNAC,15000,mini bar
MARTEL V.S.O.P SINGLE,*BRANDY & COCGNAC,18000,mini bar
REMMY MARTIN V.S.O.P SINGLE,*BRANDY & COCGNAC,30000,mini bar
COURVIOISIER V.S.O.P SINGLE,*BRANDY & COCGNAC,16000,mini bar
KWV BRANDY SINGLE,BRANDY & COCGNAC,8000,mini bar
HENNESSEY V.S.O.P BOTTLE,*BRANDY & COCGNAC,280000,mini bar
HENNESSEY  BOTTLE,*BRANDY & COCGNAC,250000,mini bar
MARTEL VS BOTTLE,*BRANDY & COCGNAC,250000,mini bar
MARTEL V.S.O.P BOTTLE,*BRANDY & COCGNAC,280000,mini bar
REMMY MARTIN V.S.O.P BOTTLE,*BRANDY & COCGNAC,450000,mini bar
COURVIOISIER V.S.O.P BOTTLE,*BRANDY & COCGNAC,230000,mini bar
KWV BRANDY BOTTLE,BRANDY & COCGNAC,145000,mini bar
DISARANNO SINGLE,*LIQUEUR,7000,mini bar
DISARANNO BOTTLE,*LIQUEUR,100000,mini bar
BAILEYS CREAM SINGLE,*LIQUEUR,8000,mini bar
BAILEYS CREAM BOTTLE,*LIQUEUR,200000,mini bar
 KHALUA SINGLE,*LIQUEUR,7500,mini bar
 KHALUA BOTTLE,*LIQUEUR,150000,mini bar
SOUTERN CONFORT SINGLE,*LIQUEUR,8000,mini bar
SOUTERN CONFORT BOTTLE,*LIQUEUR,200000,mini bar
TIA MARIA SINGLE,*LIQUEUR,80000,mini bar
TIA MARIA BOTTLE,*LIQUEUR,200000,mini bar
DRAMBUIE SINGLE,*LIQUEUR,15000,mini bar
AMARULA SINGLE,*LIQUEUR,7500,mini bar
BLUE CURANO SINGLE,*LIQUEUR,7000,mini bar
COINTREAU SINGLE,*LIQUEUR,10000,mini bar
DRAMBUIE BOTTLE,*LIQUEUR,350000,mini bar
AMARULA BOTTLE,*LIQUEUR,120000,mini bar
BLUE CURANO BOTTLE,*LIQUEUR,170000,mini bar
COINTREAU BOTTLE,*LIQUEUR,200000,mini bar
PATRON SILVER SINGLE,*TEQUILA,20000,mini bar
PATRON GOLD SINGLE,*TEQUILA,20000,mini bar
PATRON XO CAFÉ SINGLE,*TEQUILA,10000,mini bar
JOSE CUERVO SILVER SINGLE,*TEQUILA,12000,mini bar
JOSECUERVO GOLD SINGLE,*TEQUILA,120000,mini bar
OLMECA SILVER SINGLE,*TEQUILA,6000,mini bar
OLMECA GOLD SINGLE,*TEQUILA,6000,mini bar
TEQ UILA CAMINO SINGLE,*TEQUILA,5000,mini bar
PATRON SILVER BOTTLE,*TEQUILA,400000,mini bar
PATRON GOLD BOTTLE,*TEQUILA,400000,mini bar
