ITEM;SELLING PRICE;CATEGORY;DEPARTMENT
croissant jambon fromage;5000;patiserie;kitchen
croissant nature;3000;patiserie;kitchen
croissant chocolat;4500;patiserie;kitchen
croissant au beure;3500;patiserie;kitchen
sandwich nature;2000;patiserie;kitchen
pain au raisins;3000;patiserie;kitchen
pain coupé slice;2000;patiserie;kitchen
brown bread slice;2000;patiserie;kitchen
baguette;3000;patiserie;kitchen
capitaine grillé;25000;main course;kitchen
toast;2000;accompaniment;kitchen
beure;500;accompaniment;kitchen
Mix legume;5000;accompaniment;kitchen
pomme nature;7000;accompaniment;kitchen
scotch coffee;5000;coffee;coffee shop
african tea;5000;tea;coffee shop
african coffee;5000;coffee;coffee shop
café au lait;5000;coffee;coffee shop
thé au lait;5000;tea;coffee shop
igitoke et legumes;10000;main course;kitchen
eau citroné;1000;natural juice;coffee shop



Chateau Marlene glass;13000;#wine by glass; main bar
Louis Eschenauer glass;14000;#wine by glass; main bar

zilliken troken glass;19000;#wine by glass; main bar
zilliken troken pinot noir glass;19000;#wine by glass; main bar
zilliken classic glass;19000;#wine by glass; main bar 
zilliken filius glass;19000;#wine by glass; main bar 
zilliken troken bottle;80000;#wine by glass; main bar
zilliken troken noir bottle;80000;#wine by glass; main bar
zilliken classic bottle;90000;#wine by glass; main bar 
zilliken filius bottle;80000;#wine by glass; main bar 
Chateau Marlene Bottle;50000;#white wine; main bar
Chateau Marlene Bottle;50000;white wine; main bar
Louis Eschenauer;14000;#wine by glass; main bar
